label,count
Germany,218
Netherlands,182
Thailand,138
Austria,126
Hong Kong,116
Turkey,112
Uzbekistan,106
Malaysia,103
Australia,102
France,89
United Kingdom,89
Ghana,80
Canada,76
Israel,68
Singapore,67
Indonesia,66
China,65
South Africa,53
New Zealand,53
Egypt,51
Croatia,48
South Korea,47
Denmark,44
Czech Republic,44
Tunisia,35
Mauritius,30
Vietnam,27
Brazil,25
Laos,23
Bulgaria,8
Morocco,4
Poland,4
Switzerland,4
