,geoguessr,tourist,aerial
geoguessr,1.0,0.0001046906790895018,1.1588785768594784e-20
tourist,0.0001046906790895018,1.0,1.170184336919948e-20
aerial,1.1588785768594784e-20,1.170184336919948e-20,1.0
