Model,Median,Mean,Standard Deviation
geoguessr,0.4164484846050345,0.40687153717717706,0.020210260956460575
tourist,0.4700684380032206,0.46007693606306094,0.0495946724806254
aerial,0.08571428571428572,0.08413086913086913,0.07298368546215532
