Bigfoto Dataset,AerialMap Dataset
0.3888888888888889,0.0
0.38095238095238093,0.0
0.36507936507936506,0.0
0.36507936507936506,0.0
0.3253968253968254,0.0
0.30158730158730157,0.06666666666666667
0.3888888888888889,0.0
0.3333333333333333,0.06666666666666667
0.373015873015873,0.0
0.373015873015873,0.0
0.36507936507936506,0.06666666666666667
0.40476190476190477,0.13333333333333333
0.3888888888888889,0.06666666666666667
0.36507936507936506,0.0
0.373015873015873,0.06666666666666667
0.3888888888888889,0.13333333333333333
0.3389830508474576,0.0
0.3333333333333333,0.06666666666666667
