Bigfoto Dataset,AerialMap Dataset
0.35714285714285715,0.06666666666666667
0.3968253968253968,0.06666666666666667
0.40476190476190477,0.0
0.3412698412698413,0.0
0.373015873015873,0.0
0.36507936507936506,0.13333333333333333
0.3968253968253968,0.0
0.2966101694915254,0.0
0.3888888888888889,0.0
0.3412698412698413,0.06666666666666667
0.36507936507936506,0.0
0.2777777777777778,0.06666666666666667
0.3492063492063492,0.0
0.29365079365079366,0.0
0.3888888888888889,0.0
0.35714285714285715,0.0
0.3412698412698413,0.06666666666666667
0.36507936507936506,0.0
