Model,Median,Mean,Standard Deviation
geoguessr,0.3691250351428327,0.3674616316889966,0.019392575233285445
tourist,0.4368640379509945,0.44123647858754744,0.04239671883765639
aerial,0.07692307692307693,0.07129786879786879,0.04731126461165153
