,geoguessr,tourist,aerial
geoguessr,1.0,3.384149415528034e-08,2.3704622822061674e-25
tourist,3.384149415528034e-08,1.0,1.9566483775816043e-25
aerial,2.3704622822061674e-25,1.9566483775816043e-25,1.0
