Bigfoto Dataset,AerialMap Dataset
0.36507936507936506,0.0
0.35714285714285715,0.0
0.3492063492063492,0.0
0.30952380952380953,0.0
0.3253968253968254,0.0
0.35714285714285715,0.0
0.3333333333333333,0.0
0.3412698412698413,0.06666666666666667
0.3333333333333333,0.0
0.30952380952380953,0.0
0.31746031746031744,0.0
0.30952380952380953,0.0
0.3492063492063492,0.0
0.3492063492063492,0.0
0.2777777777777778,0.06666666666666667
0.3305084745762712,0.0
0.2698412698412698,0.06666666666666667
0.373015873015873,0.0
